dateSpotted,location,name,nameScientific,category,caution,funFact
20/06/2025,portugal,Lemon Centipede,Scolopendra polymorpha,insects,todo,todo
20/06/2025,portugal,Cucumber Green Spider,Araniella cucurbitina,arachnids,todo,todo
20/06/2025,portugal,Green Darner Dragonfly,Anax junius,insects,todo,todo
20/06/2025,portugal,Hummingbird Hawk-moth,Macroglossum stellatarum,insects,todo,todo
20/06/2025,portugal,Hypena Moth,Hypena,insects,todo,todo
20/06/2025,portugal,Red Shield Bug,Pentatoma rufipes,insects,todo,todo
20/06/2025,portugal,Ruby Tiger Moth,Phragmatobia fuliginosa,insects,todo,todo
20/06/2025,portugal,Sluggish Weevil,Cleonus piger,insects,todo,todo
20/06/2025,portugal,Small Dusty Wave,Idaea seriata,insects,todo,todo
20/06/2025,portugal,Speckled Wood Butterfly,Pararge aegeria,insects,todo,todo
20/06/2025,portugal,Whiplash Rove Beetle,Paederus Fabricius,insects,todo,"Avoid these as they can release a toxin that causes a blistering skin rash."
